videoname,NCluster
3Epinephelus,0
3Epinephelus_2,0
3Epinephelus_3,0
4Epinephelus,0
4Epinephelus_2,4
4Epinephelus_3,0
4Epinephelus_4,5
4Epinephelus_5,3
4Epinephelus_6,1
5Epinephelus,3
6Epinephelus,0
6Epinephelus_2,60
C0005,0
C0007,0
C0088,0
C0089,0
C0093,0
C0096,0
C0097,0
GH010003,3
GH010003_2,0
GH010004,0
GH010005,0
GH010006,0
GH010008,0
GH010021,0
GH010026_1,0
GH010027_1,0
GH010028_1,0
GH010029_3,0
GH010032_1,0
GH010032_3,0
GH010035_5,0
GH010038_2,0
GH010039_2,0
GH010040_3,0
GH010043_2,0
GH010044_2,12
GH010049_1,0
GH010049_2,0
GH010064,0
GH010069,0
GH010072_6,3
GH010082,0
GH010084_1,0
GH010085_2,0
GH010088_2,0
GH010099_1,0
GH010101_2,0
GH010103_2,0
GH010104_2,0
GH010109_1,0
GH010112_2,0
GH010114_1,0
GH010116,0
GH010121_1,0
GH010125_6,5
GH010142,0
GH010143_1,10
GH010144,0
GH010144_1,0
GH010145,0
GH010148,0
GH010149,0
GH010152,0
GH010154_1,0
GH010156,0
GH010160,0
GH010161,0
GH010162,0
GH010164,0
GH010167_1,0
GH010169_2,0
GH010171,0
GH010175_1,0
GH010178_1,0
GH010183_1,0
GH010184,0
GH010185,0
GH010185_2,0
GH010192,0
GH010194_1,0
GH010197_1,0
GH010199_2,0
GH010200_1,0
GH010201_2,0
GH010202_1,0
GH010205_2,0
GH010206_2,1
GH010207,0
GH010208_1,0
GH010209_1,0
GH010210_1,0
GH010211_2,0
GH010214_2,0
GH010217_2,0
GH010218_2,6
GH010219_2,5
GH010220_2,7
GH010221_2,2
GH010239_1,0
GH010241,0
GH010245,0
GH010254,0
GH010255,0
GH010263,0
GH010265_1,0
GH010266,0
GH010267_1,0
GH010270_1,0
GH010271_1,0
GH010275_1,0
GH010275_2,0
GH010276_2,0
GH010279_1,0
GH010280,0
GH010281,0
GH010282,0
GH010282_1,0
GH010291,0
GH010311,0
GH010315,0
GH010324,0
GH010327,0
GH010336,1
GH010338,0
GH010358,0
GH010374,0
GH010388,0
GH020065,0
GH020103,0
GH020104_1,0
GH020121,0
GH020151,0
GOPR0064_2,0
GOPR0079_2,0
GOPR0084_2,0
GOPR0090_2,0
GOPR0091_2,0
GOPR0093_2,0
GOPR0197_2,0
GOPR0202_2,0
GOPR0205_2,0
GOPR0209_2,0
GOPR0210_2,0
GOPR0212_2,2
GOPR0441_2,0
GOPR0449_2,0
GOPR0457_2,0
GOPR0472_2,0
GOPR0479_2,0
GOPR0488_2,0
GOPR0490_2,0
GOPR0494_2,0
GOPR0496_2,0
GOPR0498_2,0
GOPR0504_2,0
GOPR0508_2,0
GOPR0773_2,0
GX010018,0
GX010437,0
GX010485,0
GX010488,0
GX010492,0
GX010520,0
GX010524,0
GX010528,0
GX010529,0
GX010541,0
GX010547_2,0
GX010551,0
GX010554,0
GX010556,0
GX030514,0
