videoname,Nmax
3Epinephelus,0
3Epinephelus_2,0
3Epinephelus_3,0
4Epinephelus,0
4Epinephelus_2,0
4Epinephelus_3,0
4Epinephelus_4,0
4Epinephelus_5,6
4Epinephelus_6,0
5Epinephelus,0
6Epinephelus,0
6Epinephelus_2,1
C0005,0
C0007,0
C0088,0
C0089,0
C0093,2
C0096,1
C0097,0
GH010003,1
GH010003_2,1
GH010004,1
GH010005,0
GH010006,2
GH010008,0
GH010021,0
GH010026_1,1
GH010027_1,2
GH010028_1,1
GH010029_3,0
GH010032_1,0
GH010032_3,0
GH010035_5,1
GH010038_2,1
GH010039_2,3
GH010040_3,2
GH010043_2,0
GH010044_2,18
GH010049_1,28
GH010049_2,0
GH010064,0
GH010069,1
GH010072_6,34
GH010082,0
GH010084_1,0
GH010085_2,2
GH010088_2,1
GH010099_1,2
GH010101_2,1
GH010103_2,0
GH010104_2,1
GH010109_1,0
GH010112_2,1
GH010114_1,1
GH010116,0
GH010121_1,0
GH010125_6,0
GH010142,0
GH010143_1,0
GH010144_1,0
GH010145,0
GH010148,1
GH010149,0
GH010152,3
GH010154_1,0
GH010156,0
GH010160,1
GH010161,0
GH010162,0
GH010164,2
GH010167_1,0
GH010169_2,0
GH010171,0
GH010175_1,0
GH010178_1,0
GH010183_1,0
GH010184,8
GH010185,2
GH010185_2,1
GH010192,1
GH010194_1,0
GH010197_1,0
GH010199_2,15
GH010200_1,0
GH010201_2,1
GH010202_1,0
GH010205_2,33
GH010206_2,0
GH010207,0
GH010208_1,1
GH010209_1,0
GH010210_1,0
GH010211_2,1
GH010214_2,0
GH010217_2,12
GH010218_2,2
GH010219_2,0
GH010220_2,1
GH010221_2,0
GH010239_1,0
GH010241,0
GH010245,0
GH010254,18
GH010255,0
GH010263,5
GH010265_1,0
GH010266,4
GH010267_1,0
GH010270_1,0
GH010271_1,0
GH010275_1,2
GH010275_2,0
GH010276_2,3
GH010279_1,1
GH010280,2
GH010281,1
GH010282,0
GH010282_1,1
GH010291,0
GH010311,9
GH010315,1
GH010324,5
GH010327,0
GH010336,0
GH010338,0
GH010358,3
GH010374,0
GH010388,4
GH020065,1
GH020103,1
GH020104_1,0
GH020121,1
GH020151,1
GOPR0064_2,1
GOPR0079_2,1
GOPR0084_2,0
GOPR0090_2,35
GOPR0091_2,15
GOPR0093_2,1
GOPR0197_2,0
GOPR0202_2,0
GOPR0205_2,0
GOPR0209_2,0
GOPR0210_2,1
GOPR0212_2,1
GOPR0441_2,0
GOPR0449_2,2
GOPR0457_2,0
GOPR0472_2,4
GOPR0479_2,0
GOPR0488_2,1
GOPR0490_2,0
GOPR0494_2,0
GOPR0496_2,0
GOPR0498_2,0
GOPR0504_2,4
GOPR0508_2,0
GOPR0773_2,0
GX010018,0
GX010437,0
GX010485,1
GX010488,0
GX010492,1
GX010520,7
GX010524,0
GX010528,0
GX010529,0
GX010541,0
GX010547_2,0
GX010551,14
GX010554,4
GX010556,17
GX030514,1
